card_source_id,origin_matrix_id,card_id,source_id,source_level,source_role,bibliographic_support,research_support,independent_source_key,usage_status,issue_code
V1-CS-0001,A04-MATRIX-0001,V1-CARD-0001,SRC-0002,A,both,yes,yes,SRC-0002,used,NONE
V1-CS-0002,A04-MATRIX-0002,V1-CARD-0002,SRC-0009,B,both,yes,yes,SRC-0009,used,NONE
V1-CS-0003,A04-MATRIX-0003,V1-CARD-0002,SRC-0013,A,bibliographic,yes,no,SRC-0013,used,NONE
V1-CS-0004,A04-MATRIX-0004,V1-CARD-0002,SRC-0016,B,bibliographic,yes,no,SRC-0016,used,NONE
V1-CS-0005,A04-MATRIX-0005,V1-CARD-0003,SRC-0002,A,both,yes,yes,SRC-0002,used,NONE
V1-CS-0006,A04-MATRIX-0006,V1-CARD-0003,SRC-0014,B,bibliographic,yes,no,SRC-0014,used,NONE
V1-CS-0007,A04-MATRIX-0007,V1-CARD-0004,SRC-0002,A,both,yes,yes,SRC-0002,used,NONE
V1-CS-0008,A04-MATRIX-0008,V1-CARD-0004,SRC-0008,A,research,no,yes,SRC-0008,used,NONE
V1-CS-0009,A04-MATRIX-0009,V1-CARD-0004,SRC-0015,B,bibliographic,yes,no,SRC-0015,used,NONE
V1-CS-0010,A04-MATRIX-0010,V1-CARD-0005,SRC-0002,A,bibliographic,yes,no,SRC-0002,used,NONE
V1-CS-0011,A04-MATRIX-0011,V1-CARD-0005,SRC-0007,B,bibliographic,yes,no,SRC-0007,used,NONE
V1-CS-0012,A04-MATRIX-0012,V1-CARD-0006,SRC-0009,B,both,yes,yes,SRC-0009,used,NONE
V1-CS-0013,A04-MATRIX-0013,V1-CARD-0006,SRC-0011,A,research,no,yes,SRC-0011,used,NONE
V1-CS-0014,A04-MATRIX-0014,V1-CARD-0007,SRC-0009,B,both,yes,yes,SRC-0009,used,NONE
V1-CS-0015,A04-MATRIX-0015,V1-CARD-0007,SRC-0012,A,research,no,yes,SRC-0012,used,NONE
V1-CS-0016,A04-MATRIX-0016,V1-CARD-0008,SRC-0009,B,both,yes,yes,SRC-0009,used,NONE
V1-CS-0017,A04-MATRIX-0017,V1-CARD-0008,SRC-0013,A,research,no,yes,SRC-0013,used,NONE
V1-CS-0018,A04-MATRIX-0018,V1-CARD-0009,SRC-0017,B,both,yes,yes,SRC-0017,used,NONE
V1-CS-0019,A04-MATRIX-0019,V1-CARD-0010,SRC-0019,A,research,no,yes,SRC-0019,used,CONTEXT-EVENT
V1-CS-0020,A04-MATRIX-0020,V1-CARD-0010,SRC-0020,B,both,yes,yes,SRC-0020,used,CONTEXT-EVENT
V1-CS-0021,A04-MATRIX-0021,V1-CARD-0010,SRC-0071,B,bibliographic,yes,no,SRC-0071,used,CONTEXT-EVENT
V1-CS-0022,A04-MATRIX-0022,V1-CARD-0011,SRC-0021,B,both,yes,yes,SRC-0021,used,RESEARCH-GAP
V1-CS-0023,A04-MATRIX-0023,V1-CARD-0012,SRC-0017,B,bibliographic,yes,no,SRC-0017,used,RESEARCH-GAP
V1-CS-0024,A04-MATRIX-0024,V1-CARD-0013,SRC-0022,B,both,yes,yes,SRC-0022,used,NONE
V1-CS-0025,A04-MATRIX-0025,V1-CARD-0014,SRC-0023,B,both,yes,yes,SRC-0023,used,NONE
V1-CS-0026,A04-MATRIX-0026,V1-CARD-0014,SRC-0024,A,research,no,yes,SRC-0024,used,NONE
V1-CS-0027,A04-MATRIX-0027,V1-CARD-0015,SRC-0026,B,bibliographic,yes,no,SRC-0026,used,RESEARCH-GAP
V1-CS-0028,A04-MATRIX-0028,V1-CARD-0016,SRC-0025,B,bibliographic,yes,no,SRC-0025,used,RESEARCH-GAP
V1-CS-0029,A04-MATRIX-0029,V1-CARD-0017,SRC-0027,B,both,yes,yes,SRC-0027,used,NONE
V1-CS-0030,A04-MATRIX-0030,V1-CARD-0018,SRC-0028,A,research,no,yes,SRC-0028,used,NONE
V1-CS-0031,A04-MATRIX-0031,V1-CARD-0018,SRC-0029,B,both,yes,yes,SRC-0029,used,NONE
V1-CS-0032,A04-MATRIX-0032,V1-CARD-0019,SRC-0030,B,both,yes,yes,SRC-0030,used,RESEARCH-GAP
V1-CS-0033,A04-MATRIX-0033,V1-CARD-0020,SRC-0031,B,bibliographic,yes,no,SRC-0031,used,RESEARCH-GAP
V1-CS-0034,A04-MATRIX-0034,V1-CARD-0021,SRC-0035,B,both,yes,yes,SRC-0035,used,NONE
V1-CS-0035,A04-MATRIX-0035,V1-CARD-0021,SRC-0036,B,both,yes,yes,SRC-0036,used,NONE
