card_id,fact_id,display_order
STG-CARD-0001,STG-FCT-0001,1
STG-CARD-0001,STG-FCT-0002,2
STG-CARD-0001,STG-FCT-0003,3
STG-CARD-0001,STG-FCT-0004,4
STG-CARD-0001,STG-FCT-0005,5
STG-CARD-0001,STG-FCT-0006,6
STG-CARD-0001,STG-FCT-0007,7
STG-CARD-0002,STG-FCT-0008,1
STG-CARD-0002,STG-FCT-0009,2
STG-CARD-0002,STG-FCT-0010,3
STG-CARD-0002,STG-FCT-0011,4
STG-CARD-0002,STG-FCT-0012,5
STG-CARD-0003,STG-FCT-0013,1
STG-CARD-0003,STG-FCT-0014,2
STG-CARD-0003,STG-FCT-0015,3
STG-CARD-0003,STG-FCT-0016,4
STG-CARD-0003,STG-FCT-0017,5
STG-CARD-0004,STG-FCT-0018,1
STG-CARD-0004,STG-FCT-0019,2
STG-CARD-0004,STG-FCT-0020,3
STG-CARD-0004,STG-FCT-0021,4
STG-CARD-0004,STG-FCT-0022,5
STG-CARD-0004,STG-FCT-0023,6
STG-CARD-0004,STG-FCT-0024,7
STG-CARD-0005,STG-FCT-0025,1
STG-CARD-0005,STG-FCT-0026,2
STG-CARD-0005,STG-FCT-0027,3
STG-CARD-0005,STG-FCT-0028,4
STG-CARD-0006,STG-FCT-0031,1
STG-CARD-0006,STG-FCT-0032,2
STG-CARD-0006,STG-FCT-0033,3
STG-CARD-0006,STG-FCT-0034,4
STG-CARD-0006,STG-FCT-0035,5
STG-CARD-0006,STG-FCT-0036,6
STG-CARD-0007,STG-FCT-0037,1
STG-CARD-0007,STG-FCT-0038,2
STG-CARD-0007,STG-FCT-0039,3
STG-CARD-0007,STG-FCT-0040,4
STG-CARD-0007,STG-FCT-0041,5
STG-CARD-0007,STG-FCT-0042,6
STG-CARD-0007,STG-FCT-0043,7
STG-CARD-0008,STG-FCT-0044,1
STG-CARD-0008,STG-FCT-0045,2
STG-CARD-0008,STG-FCT-0046,3
STG-CARD-0008,STG-FCT-0047,4
STG-CARD-0008,STG-FCT-0048,5
STG-CARD-0008,STG-FCT-0049,6
STG-CARD-0009,STG-FCT-0029,1
STG-CARD-0009,STG-FCT-0030,2
