entity_id,preview_entity_id,candidate_id
STG-ENT-0001,PRE-ENT-0001,CAND-PLACE-0051
STG-ENT-0002,PRE-ENT-0002,CAND-S2-ENT-0001
STG-ENT-0003,PRE-ENT-0003,CAND-S2-ENT-0002
STG-ENT-0004,PRE-ENT-0004,CAND-S2-ENT-0003
STG-ENT-0005,PRE-ENT-0005,CAND-S2-ENT-0020
STG-ENT-0006,PRE-ENT-0006,CAND-S2-ENT-0021
STG-ENT-0007,PRE-ENT-0007,CAND-S2-ENT-0022
STG-ENT-0008,PRE-ENT-0008,CAND-S2-ENT-0052
STG-ENT-0009,PRE-ENT-0009,CAND-S2-ENT-0056
STG-ENT-0010,PRE-ENT-0010,CAND-S2-ENT-0068
STG-ENT-0011,PRE-ENT-0011,CAND-S2-ENT-0069
STG-ENT-0012,PRE-ENT-0012,CAND-S2-ENT-0071
STG-ENT-0013,PRE-ENT-0013,CAND-S2-ENT-0080
STG-ENT-0014,PRE-ENT-0014,CAND-S2-ENT-0082
STG-ENT-0015,PRE-ENT-0015,CAND-S2-ENT-0083
STG-ENT-0016,PRE-ENT-0016,CAND-S2-ENT-0086
STG-ENT-0017,PRE-ENT-0017,CAND-S2-ENT-0087
STG-ENT-0018,PRE-ENT-0018,CAND-S2-ENT-0088
STG-ENT-0019,PRE-ENT-0019,CAND-S2-ENT-0089
STG-ENT-0020,PRE-ENT-0020,CAND-S2-ENT-0090
STG-ENT-0021,PRE-ENT-0021,CAND-S2-ENT-0092
STG-ENT-0022,PRE-ENT-0022,CAND-S2-ENT-0098
STG-ENT-0023,PRE-ENT-0023,CAND-S2-ENT-0101
STG-ENT-0024,PRE-ENT-0024,CAND-S2-ENT-0102
STG-ENT-0025,PRE-ENT-0025,CAND-S2-ENT-0103
STG-ENT-0026,PRE-ENT-0026,CAND-S2-ENT-0104
STG-ENT-0027,PRE-ENT-0027,CAND-S2-ENT-0109
STG-ENT-0028,PRE-ENT-0028,CAND-S2-ENT-0114
