fact_id,source_id
STG-FCT-0001,SRC-0002
STG-FCT-0002,SRC-0002
STG-FCT-0003,SRC-0002
STG-FCT-0004,SRC-0002
STG-FCT-0005,SRC-0002
STG-FCT-0006,SRC-0002
STG-FCT-0007,SRC-0002
STG-FCT-0008,SRC-0013
STG-FCT-0009,SRC-0009
STG-FCT-0010,SRC-0009
STG-FCT-0011,SRC-0009
STG-FCT-0012,SRC-0009
STG-FCT-0013,SRC-0002
STG-FCT-0014,SRC-0002
STG-FCT-0015,SRC-0002
STG-FCT-0016,SRC-0002
STG-FCT-0017,SRC-0002
STG-FCT-0018,SRC-0002
STG-FCT-0019,SRC-0002
STG-FCT-0020,SRC-0002
STG-FCT-0021,SRC-0002
STG-FCT-0022,SRC-0002
STG-FCT-0023,SRC-0002
STG-FCT-0024,SRC-0008
STG-FCT-0025,SRC-0002
STG-FCT-0026,SRC-0002
STG-FCT-0027,SRC-0002
STG-FCT-0028,SRC-0007
STG-FCT-0029,SRC-0002
STG-FCT-0030,SRC-0002
STG-FCT-0031,SRC-0009
STG-FCT-0032,SRC-0009
STG-FCT-0033,SRC-0009
STG-FCT-0034,SRC-0009
STG-FCT-0035,SRC-0009
STG-FCT-0036,SRC-0011
STG-FCT-0037,SRC-0009
STG-FCT-0038,SRC-0009
STG-FCT-0039,SRC-0009
STG-FCT-0040,SRC-0009
STG-FCT-0041,SRC-0009
STG-FCT-0042,SRC-0009
STG-FCT-0043,SRC-0012
STG-FCT-0044,SRC-0009
STG-FCT-0045,SRC-0009
STG-FCT-0046,SRC-0009
STG-FCT-0047,SRC-0009
STG-FCT-0048,SRC-0009
STG-FCT-0049,SRC-0013
STG-FCT-0050,SRC-0014
STG-FCT-0051,SRC-0015
STG-FCT-0052,SRC-0016
